		名詞	
ぼうぜん	｜呆然《ぼうぜん》	名詞形動	
ぼろ	｜襤褸《ぼろ》	名詞	
ま	｜撒《ま》	動詞カ行五段	
ま	｜蒔《ま》	動詞カ行五段	
まっしぐら	｜驀地《まっしぐら》	名詞形動	
まうんど	｜土塚《マウンド》	名詞	
まく	｜捲《まく》	動詞ラ行五段	
まくしたて	｜捲《まく》し立て	動詞一段	
まぐ・める	｜喜びが原《マグ・メル》	名詞	
まことしやか	｜実《まこと》しやか	名詞	
まじな	｜呪《まじな》	動詞ワ行五段	
まず	｜拙《まず》	形容詞	
まず	｜不味《まず》	形容詞	
また	｜跨《また》	動詞ガ行五段	
またが	｜跨《また》が	動詞ラ行五段	
まと	｜纏《まと》	動詞ワ行五段	
まとも	｜真面《まとも》	名詞形動	
まなじり	｜眦《まなじり》	名詞	
まね	｜真似《まね》	名詞サ変	
まね	｜真似《まね》	動詞一段	
まねごと	｜真似事《まねごと》	名詞	
まばた	｜瞬《まばた》	動詞カ行五段	
まばゆ	｜眩《まばゆ》	形容詞	
まぶし	｜眩《まぶ》し	形容詞	
まほうど	｜魔法弩《まほうど》	名詞	
まま	｜間々《まま》	名詞	
まま	｜儘《まま》	名詞	
まみ	｜塗《まみ》	動詞ラ行五段	
まれ	｜稀《まれ》	名詞形動	
まれふぃきうむ	｜有害な魔法《マレフィキウム》	名詞	
まわり	｜回《まわ》り	助数詞	
まんざら	｜満更《まんざら》	副詞	
みっどさまーでい	｜夏至の日《ミッドサマーデイ》	名詞	
みっどさまーでい・いぶ	｜夏至前夜《ミッドサマーデイ・イブ》	名詞	
みいだ	｜見出《みい》だ	動詞サ行五段	
みくに	｜御国《みくに》	名詞	
みこ	｜巫女《みこ》	名詞	
みこころ	｜御心《みこころ》	名詞	
みじん	｜微塵《みじん》	副詞	
みじん	｜微塵《みじん》	名詞	
みすとれす	｜女主人《ミストレス》	名詞	
みずおけ	｜水桶《みずおけ》	名詞	
みずしぶき	｜水飛沫《みずしぶき》	名詞	
みずみずし	｜瑞々《みずみず》し	形容詞	
みぞおち	｜鳩尾《みぞおち》	名詞	
みだしなみ	｜身嗜《みだしな》み	名詞	
みだら	｜淫《みだ》ら	名詞形動	
みちのり	｜道程《みちのり》	名詞	
みつどもえ	｜三つ巴《みつどもえ》	名詞	
みつろう	｜蜜蝋《みつろう》	名詞	
みとれ	｜見惚《みと》れ	動詞一段	
みな	｜御名《みな》	名詞	
みなぎ	｜漲《みなぎ》	動詞ラ行五段	
みなも	｜水面《みなも》	名詞	
みはるか	｜見遥《みはる》か	動詞サ行五段	
む	｜剥《む》	動詞カ行五段	
むくろ	｜骸《むくろ》	名詞	
むくろ	｜躯《むくろ》	名詞	
むげ	｜無下《むげ》	副詞	
むご	｜酷《むご》	形容詞	
むしろ	｜筵《むしろ》	名詞	
むせ	｜咽《むせ》	動詞一段	
むつ	｜睦《むつ》	動詞マ行五段	
めった	｜滅多《めった》	副詞	
めいす	｜職杖《メイス》	名詞	
めいす	｜鎚矛《メイス》	名詞	
めいど	｜女中《メイド》	名詞	
めがみ	｜女神《めがみ》	名詞	
めく	｜捲《めく》	動詞ラ行五段	
めす	｜雌《めす》	名詞	
めちゃ	｜滅茶《めちゃ》	名詞形動	
めちゃくちゃ	｜滅茶苦茶《めちゃくちゃ》	名詞形動	
めちゃめちゃ	｜滅茶滅茶《めちゃめちゃ》	名詞形動	
めまい	｜目眩《めまい》	名詞	
めんつ	｜面子《めんつ》	名詞	
もったい	｜勿体《もったい》	名詞形動	
もったいな	｜勿体無《もったいな》	形容詞	
もうろう	｜朦朧《もうろう》	名詞形動	
もが	｜藻掻《もが》	動詞カ行五段	
もぐ	｜潜《もぐ》	動詞ラ行五段	
もじ	｜捩《もじ》	動詞ラ行五段	
もたら	｜齎《もたら》	動詞サ行五段	
もちろん	｜勿論《もちろん》	名詞	
もてあそ	｜弄《もてあそ》	動詞バ行五段	
もてな	｜持《も》て｜成《な》	動詞サ行五段	
もと	｜下《もと》	名詞	
もはや	｜最早《もはや》	副詞	
もや	｜靄《もや》	名詞	
もら	｜貰《もら》	動詞ワ行五段	
や	｜遣《や》	動詞ラ行五段	
や	｜止《や》	動詞マ行五段	
や	｜輻《や》	名詞	
やいば	｜刃《やいば》	名詞	
やから	｜輩《やから》	名詞	
やけ	｜自棄《やけ》	名詞	
やす	｜易《やす》	形容詞	
やすやす	｜易々《やすやす》	副詞	
やつ	｜奴《やつ》	名詞	
やぶ	｜藪《やぶ》	名詞	
やぶさか	｜吝《やぶさ》か	名詞	
やぼ	｜野暮《やぼ》	名詞形動	
やりとり	｜遣《や》り取り	名詞サ変	
やるせな	｜遣《や》る｜瀬無《せな》	形容詞	
ゆううつ	｜憂鬱《ゆううつ》	名詞	
ゆうべ	｜昨夜《ゆうべ》	名詞	
ゆえん	｜所以《ゆえん》	名詞	
ゆかり	｜縁《ゆかり》	名詞	
ゆが	｜歪《ゆが》	動詞マ行五段	
ゆんづる	｜弓弦《ゆんづる》	名詞	
よ	｜依《よ》	動詞ラ行五段	
よ	｜選《よ》	動詞ラ行五段	
ようはい	｜腰背《ようはい》	名詞	
ようはい	｜遥拝《ようはい》	名詞	
ようやく	｜漸《ようや》く	副詞	
よぎ	｜過《よぎ》	動詞ラ行五段	
よこな	｜横薙《よこな》	動詞ガ行五段	
よし	｜葦《よし》	名詞	
よし	｜由《よし》	名詞	
よじ	｜捩《よじ》	動詞ラ行五段	
よそ	｜余所《よそ》	名詞	
よだれ	｜涎《よだれ》	名詞	
よろけ	｜蹌踉《よろ》け	動詞一段	
らーす	｜土砦《ラース》	名詞	
らいと・あーまー	｜軽甲冑《ライト・アーマー》	名詞	
らち	｜埒《らち》	名詞	
らちがい	｜埒外《らちがい》	名詞	
らんぐいば	｜乱杭歯《らんぐいば》	名詞	
りょうが	｜凌駕《りょうが》	名詞サ変	
りこう	｜犁耕《りこう》	名詞サ変	
りりし	｜凛々《りり》し	形容詞	
りん	｜厘《りん》	助数詞	
りん	｜凛《りん》	名詞	
りんこう	｜燐光《りんこう》	名詞	
りんご	｜林檎《リンゴ》	名詞	
りんぴ	｜鱗皮《りんぴ》	名詞	
るつぼ	｜坩堝《るつぼ》	名詞	
るびー	｜紅玉《ルビー》	名詞	
れっぱく	｜裂帛《れっぱく》	名詞	
れい	｜物語《レイ》	名詞	
れいて	｜忘却《レイテ》	名詞	
れがりあ	｜国王特権《レガリア》	名詞	
れば・がう゛ぁーら	｜侵略の書《レバ・ガヴァーラ》	名詞	
れぷらほーん	｜片足靴屋《レプラホーン》	名詞	
ろーらんど	｜低地地方《ローランド》	名詞	
ろう	｜蝋《ろう》	名詞	
ろうそく	｜蝋燭《ろうそく》	名詞	
ろく	｜陸《ろく》	名詞形動	
わ	｜詫《わ》	動詞バ行五段	
わいく	｜矮躯《わいく》	名詞	
わいしょう	｜矮小《わいしょう》	名詞	
わがまま	｜我儘《わがまま》	名詞形動	
わきあいあい	｜和気藹々《わきあいあい》	名詞形動	
わきまえ	｜弁《わきま》え	動詞一段	
わざ	｜業《わざ》	名詞	
わし	｜鷲《ワシ》	名詞	
わし	｜儂《わし》	名詞	
わしづか	｜鷲掴《わしづか》	動詞マ行五段	
わずか	｜僅《わず》か	名詞形動	
わだち	｜轍《わだち》	名詞	
わに	｜鰐《ワニ》	名詞	
わめ	｜喚《わめ》	動詞カ行五段	
わら	｜藁《わら》	名詞	
わらたば	｜藁束《わらたば》	名詞	
